n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
14.65,98.58,3.13,11.65,18.0,14.65,16.52,5.62,4.65,0.0,0.43,7.39,8.91,0.0,0.43,21.18,76.97,0.0,0.43,8.25,7.84,0.0
10.27,93.03,1.86,7.76,10.0,13.68,10.15,4.44,7.98,0.0,0.57,2.05,9.24,0.0,0.57,3.52,88.94,0.0,0.57,1.83,7.75,0.0
14.46,91.31,4.65,11.46,10.0,17.22,18.61,10.58,8.16,3.64,0.0,5.88,6.94,4.64,0.0,51.58,35.09,1.64,0.0,7.56,9.41,0.0
13.25,57.56,1.36,10.81,5.0,14.8,11.63,6.48,24.59,0.8,0.0,12.45,0.0,0.8,0.0,56.76,0.0,0.8,0.0,10.83,0.0,0.0
31.78,94.56,12.02,22.13,5.0,32.91,27.42,25.1,77.64,10.54,0.96,13.53,12.54,24.98,1.92,45.94,21.72,4.82,0.96,16.29,5.35,0.0
85.45,622.88,32.07,71.9,5.0,85.45,69.31,82.46,12.93,20.18,0.04,37.87,36.19,70.87,0.08,475.29,76.64,13.85,0.04,42.67,12.75,0.0
15.89,48.96,5.48,13.35,7.5,15.92,18.2,10.88,5.01,8.76,0.0,3.66,4.46,15.62,0.0,15.17,18.17,6.84,0.0,7.57,3.79,0.0
8.84,27.63,1.91,6.7,4.8000000000000105,10.05,12.42,4.99,17.73,2.05,0.0,5.06,2.2,6.09,0.0,18.2,3.34,2.05,0.0,8.48,1.89,0.0
21.56,46.12,8.08,19.1,8.700000000000012,22.79,16.01,16.18,21.94,0.0,0.99,13.46,7.52,0.0,0.99,28.95,16.18,0.0,0.99,10.73,4.29,0.0
26.98,130.56,6.65,23.37,10.5,28.55,14.67,10.9,15.25,0.0,0.01,8.46,18.89,0.0,0.01,12.59,117.96,0.0,0.01,5.21,9.45,0.0
29.41,124.76,4.27,26.17,6.600000000000022,32.9,13.43,9.04,48.47,0.0,0.0,11.85,17.73,0.0,0.0,19.15,105.61,0.0,0.0,4.83,8.6,0.0
72.33,786.05,30.52,66.33,19.70000000000003,72.33,61.63,72.33,0.0,0.0,0.0,34.45,41.57,0.0,0.0,646.67,139.38,0.0,0.0,28.75,32.88,0.0
