n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_1.0,n_species_2.0,n_species_3.0,n_species_4.0,n_occs_1.0,n_occs_2.0,n_occs_3.0,n_occs_4.0,n_locs_1.0,n_locs_2.0,n_locs_3.0,n_locs_4.0
9.46,16.71,1.36,6.51,9.0,9.46,6.35,1.36,5.46,0.46,0.0,6.88,2.3,0.46,0.0,13.77,2.48,0.23,0.0,4.77,1.35
11.17,86.34,1.85,8.24,9.0,13.56,10.54,4.5,4.21,2.86,0.34,4.27,5.39,6.49,0.34,8.08,71.43,2.34,0.34,3.81,4.05
9.87,88.21,1.64,7.36,10.0,13.27,9.57,4.04,8.15,2.81,0.66,1.8,6.3,7.44,0.66,2.76,77.35,2.58,0.66,1.4,4.93
14.67,91.67,4.78,11.67,10.0,17.38,18.82,10.73,8.07,7.73,0.0,5.94,3.0,13.24,0.0,51.69,26.74,5.48,0.0,7.67,5.67
13.18,57.42,1.37,10.83,5.0,14.72,11.57,6.41,24.88,0.72,0.0,12.46,0.0,0.72,0.0,56.7,0.0,0.72,0.0,10.85,0.0
31.99,93.46,12.11,26.81,5.0,33.19,27.54,24.94,77.42,14.87,0.97,13.57,5.4,34.19,1.94,44.91,12.42,8.55,0.97,16.16,1.86
85.67,624.22,31.98,75.26,5.0,85.67,69.24,82.71,13.18,45.67,0.03,38.08,8.62,130.29,0.06,476.29,17.58,23.33,0.03,42.74,3.14
16.14,49.24,5.55,14.58,7.5,16.14,18.17,10.93,5.47,11.75,0.0,3.94,0.45,32.45,0.0,15.59,1.2,10.4,0.0,7.62,0.15
9.5,28.47,1.99,7.19,4.8000000000000105,10.68,12.34,5.26,17.23,3.62,0.0,5.99,0.42,8.35,0.0,19.08,1.04,3.52,0.0,8.68,0.14
20.8,45.36,7.93,18.38,8.700000000000012,22.65,16.07,15.79,21.56,3.75,1.0,12.5,4.09,10.37,1.0,27.49,6.5,2.85,1.0,10.41,1.81
26.91,129.65,6.58,23.26,10.5,28.42,14.77,10.91,15.62,2.44,0.0,8.44,16.37,2.88,0.0,12.75,114.02,1.44,0.0,5.34,7.99
29.5,126.71,4.19,26.39,6.600000000000022,33.13,13.58,8.91,48.29,0.38,0.0,12.0,17.32,0.38,0.0,19.85,106.48,0.19,0.0,5.08,8.31
72.51,784.54,30.67,66.51,19.70000000000003,72.51,61.44,72.51,0.0,0.74,0.0,34.42,41.03,0.74,0.0,646.04,137.76,0.37,0.0,28.47,32.6
