n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
118.76,518.89,44.97,91.69,9.0,118.76,48.56,72.58,89.66,0.96,14.0,70.83,43.74,0.96,36.0,247.72,234.21,0.96,1.0,34.08,12.52,0.0
119.83,572.86,32.77,94.31,9.0,135.84,30.32,62.54,67.58,1.4,1.45,41.19,81.79,5.24,2.35,144.56,420.71,0.92,1.45,15.33,12.62,0.0
119.31,681.25,32.26,91.58,10.0,140.88,23.12,85.88,75.0,1.64,0.55,22.25,100.82,6.8,1.65,91.72,581.08,1.12,0.55,6.59,14.86,0.0
124.0,291.0,51.0,101.0,10.0,130.0,35.0,110.0,65.22,9.0,12.0,38.0,75.0,16.0,27.0,114.0,134.0,4.0,2.0,15.0,14.0,0.0
79.79,336.09,22.02,64.27,5.0,85.22,41.55,53.46,100.91,3.35,19.86,40.06,24.72,4.72,60.27,189.41,81.69,2.81,4.96,27.78,6.0,0.0
127.91,475.21,47.24,105.4,5.0,132.67,77.51,110.93,76.8,30.49,34.57,59.98,18.16,113.18,131.58,183.68,46.77,12.7,11.78,42.69,10.34,0.0
98.54,300.79,46.17,82.19,5.0,98.54,61.47,95.11,41.17,21.14,24.09,39.65,21.99,81.77,40.39,116.09,62.54,10.9,14.32,25.59,10.66,0.0
44.57,482.95,15.55,41.58,7.5,44.6,32.78,38.1,13.78,30.05,4.88,11.56,0.0,427.8,10.76,44.39,0.0,20.06,2.94,9.78,0.0,0.0
17.9,101.87,3.22,17.88,4.8000000000000105,20.28,13.96,15.6,9.76,9.02,0.0,8.22,0.66,58.53,0.0,42.68,0.66,4.53,0.0,8.77,0.66,0.0
13.44,58.6,1.8,11.44,8.700000000000012,14.44,8.96,12.19,7.36,0.0,2.0,10.44,3.0,0.0,2.0,39.26,17.34,0.0,1.0,5.62,2.34,0.0
9.61,74.49,1.0,8.61,10.5,9.61,3.77,6.61,17.0,0.0,0.0,1.61,8.0,0.0,0.0,2.49,72.0,0.0,0.0,1.77,2.0,0.0
20.0,338.0,6.0,17.0,6.600000000000022,20.0,11.0,19.0,3.0,2.0,0.0,3.0,17.0,13.0,0.0,22.0,303.0,2.0,0.0,1.0,8.0,0.0
4.0,15.0,2.0,4.0,8.799999999999953,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0,0.0
