n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_1.0,n_species_2.0,n_species_3.0,n_species_4.0,n_occs_1.0,n_occs_2.0,n_occs_3.0,n_occs_4.0,n_locs_1.0,n_locs_2.0,n_locs_3.0,n_locs_4.0
1.03,1.41,0.58,0.76,9.0,1.03,1.05,0.58,2.84,0.65,0.0,0.29,0.11,1.01,0.0,0.29,0.11,0.65,0.0,0.29,0.11
3.09,14.52,0.58,2.14,9.0,3.29,4.28,0.58,1.81,1.43,0.0,0.27,1.9,2.28,0.0,0.27,11.97,1.72,0.0,0.27,2.29
3.26,14.36,0.84,2.31,10.0,4.52,4.6,0.84,5.03,1.48,0.0,0.44,1.88,2.39,0.0,0.44,11.53,1.95,0.0,0.44,2.21
7.19,21.96,1.0,6.71,10.0,8.71,9.32,5.71,7.02,1.36,0.0,1.0,4.93,5.32,0.0,2.0,14.64,1.68,0.0,2.0,5.64
10.02,189.75,2.0,7.02,5.0,10.02,7.72,5.46,16.99,0.0,1.73,2.0,6.29,0.0,7.02,2.0,180.73,0.0,0.99,2.0,4.73
20.51,72.73,4.87,17.42,5.0,21.55,12.6,18.92,9.86,9.81,4.95,3.94,3.7,27.37,31.9,7.68,5.78,3.91,3.88,1.9,2.91
11.53,153.46,4.16,9.19,5.0,12.49,16.73,7.99,40.12,6.67,4.43,2.29,1.14,106.28,11.44,2.5,33.24,9.3,4.19,2.13,1.11
44.62,608.32,13.96,38.62,7.5,44.62,31.77,34.54,6.74,34.63,5.88,5.27,4.0,533.98,11.63,15.35,47.36,20.89,4.93,4.59,1.36
16.78,84.1,2.02,11.78,4.8000000000000105,16.82,14.68,12.09,1.56,12.74,0.01,3.82,1.04,74.14,0.01,8.91,1.04,10.53,0.01,3.1,1.04
5.37,15.24,0.99,3.8,8.700000000000012,6.29,6.69,4.34,0.0,4.6,0.0,0.28,0.6,14.08,0.0,0.56,0.6,5.81,0.0,0.28,0.6
0.75,0.79,0.0,0.2,10.5,1.95,0.59,0.65,0.0,0.75,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.59,0.0,0.0,0.0
0.55,0.58,0.0,0.15,6.600000000000022,1.3,0.43,0.53,0.0,0.55,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.43,0.0,0.0,0.0
0.77,0.78,0.0,0.24,8.799999999999953,0.77,0.54,0.77,0.0,0.77,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.54,0.0,0.0,0.0
