n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
30.84,79.68,16.45,29.51,9.0,30.84,10.94,25.38,18.11,1.43,0.0,27.53,1.88,2.77,0.0,74.09,2.82,1.07,0.0,8.93,0.94,0.0
22.83,100.65,7.67,19.72,9.0,23.57,9.9,15.13,16.11,11.63,0.0,6.48,5.62,79.69,0.0,10.14,10.82,4.82,0.0,2.3,2.78,0.0
20.26,109.79,7.23,17.48,10.0,24.55,9.34,12.51,28.88,13.7,0.0,0.77,6.18,96.98,0.0,0.77,12.04,5.61,0.0,0.77,2.96,0.0
38.8,81.79,11.93,36.28,10.0,40.92,20.42,27.42,16.65,31.48,0.0,2.0,5.32,70.47,0.0,3.0,8.32,14.1,0.0,2.0,4.32,0.0
26.62,252.85,5.72,22.62,5.0,30.15,10.44,16.65,37.87,21.76,1.86,3.0,0.0,242.45,7.4,3.0,0.0,6.35,1.09,3.0,0.0,0.0
49.87,169.21,16.82,46.01,5.0,51.37,18.03,44.72,28.83,34.55,10.13,6.35,0.94,118.04,37.22,13.01,0.94,9.45,5.19,2.45,0.94,0.0
33.58,278.32,11.43,30.17,5.0,35.48,22.87,24.81,142.32,23.71,7.4,4.82,0.12,258.11,14.89,5.18,0.14,12.39,5.81,4.59,0.08,0.0
152.92,1272.67,55.46,144.6,7.5,152.99,41.44,123.76,85.08,128.03,11.76,17.61,0.63,1214.93,17.44,39.46,0.84,25.05,6.9,9.28,0.21,0.0
112.2,400.63,39.87,105.24,4.8000000000000105,114.31,28.2,96.72,42.64,73.04,0.05,39.95,0.21,300.89,0.05,99.41,0.28,15.02,0.01,13.1,0.07,0.0
58.48,206.37,20.37,54.89,8.700000000000012,60.23,25.6,51.03,18.38,17.52,3.0,29.95,8.1,29.57,9.0,138.0,29.8,9.54,1.0,13.26,1.8,0.0
25.49,139.31,7.11,21.81,10.5,27.58,11.25,17.62,13.61,0.68,0.0,5.64,19.17,0.76,0.0,6.08,132.47,0.6,0.0,3.89,6.76,0.0
22.24,113.12,9.39,16.12,6.600000000000022,23.57,11.56,15.85,28.68,0.67,0.0,6.33,16.24,0.68,0.0,6.33,106.11,0.49,0.0,2.9,8.17,0.0
36.4,148.61,20.55,30.08,19.70000000000003,36.4,32.01,36.4,0.0,0.62,0.0,13.53,27.25,0.66,0.0,21.53,126.42,0.51,0.0,9.53,21.97,0.0
