n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
49.42,190.47,24.24,47.16,18.0,49.42,20.59,41.07,15.38,3.34,0.0,29.63,17.4,7.44,0.0,84.2,98.83,3.01,0.0,11.2,6.38,0.0
19.29,98.85,6.96,17.54,10.0,23.73,9.46,11.76,29.61,2.48,0.0,0.8,16.58,5.26,0.0,0.8,92.79,2.31,0.0,0.8,6.35,0.0
39.48,83.25,12.11,33.53,10.0,41.58,20.65,27.6,15.98,4.56,0.0,2.0,34.37,11.89,0.0,3.0,68.36,3.51,0.0,2.0,15.14,0.0
26.46,251.38,5.69,18.14,5.0,29.96,10.29,16.68,38.05,1.52,1.68,3.0,20.58,3.12,6.44,3.0,238.82,0.88,0.97,3.0,5.44,0.0
49.86,169.43,16.85,39.98,5.0,51.33,18.01,44.1,29.28,29.18,10.19,6.28,7.71,107.89,38.09,12.64,10.81,5.69,5.33,2.48,4.51,0.0
34.71,280.21,11.38,29.58,5.0,36.51,23.31,25.46,142.33,23.16,7.58,5.08,2.7,222.55,15.22,5.79,36.65,11.31,5.85,4.59,1.56,0.0
153.29,1272.45,55.66,141.0,7.5,153.38,41.39,123.75,84.66,126.59,11.69,17.7,6.29,1162.23,17.25,39.8,53.17,22.75,6.85,9.43,2.36,0.0
112.31,402.09,39.68,102.27,4.8000000000000105,114.29,27.78,97.35,42.89,71.4,0.0,40.32,2.1,298.21,0.0,101.67,2.21,13.18,0.0,13.24,1.36,0.0
57.95,205.12,20.52,54.26,8.700000000000012,59.83,25.81,50.48,18.22,15.21,3.0,29.46,10.41,27.19,9.0,135.31,33.62,7.69,1.0,13.06,4.06,0.0
25.61,138.07,7.09,21.62,10.5,27.57,11.33,17.64,13.63,0.98,0.0,5.75,18.88,1.02,0.0,6.13,130.92,0.74,0.0,3.87,6.72,0.0
22.24,113.8,9.26,15.99,6.600000000000022,23.56,11.31,15.94,28.55,0.61,0.0,6.03,16.6,0.61,0.0,6.03,107.16,0.43,0.0,2.7,8.18,0.0
36.17,147.88,20.56,29.69,19.70000000000003,36.17,32.07,36.17,0.0,0.57,0.0,13.63,26.97,0.59,0.0,21.63,125.66,0.5,0.0,9.63,21.94,0.0
