n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
30.74,79.92,16.37,29.39,9.0,30.74,10.95,25.47,18.92,1.31,0.0,27.41,2.05,2.57,0.0,74.33,3.02,0.85,0.0,9.02,1.08,0.0
23.49,113.67,7.74,21.39,9.0,24.19,9.59,15.63,15.09,2.47,0.0,6.22,15.67,4.86,0.0,9.84,98.97,2.17,0.0,2.15,5.27,0.0
19.1,95.9,7.07,17.35,10.0,23.65,9.47,11.72,29.49,2.59,0.0,0.83,16.31,5.45,0.0,0.83,89.62,2.4,0.0,0.83,6.24,0.0
39.34,82.77,12.08,33.39,10.0,41.42,20.59,27.46,16.41,4.5,0.0,2.0,34.27,11.71,0.0,3.0,68.06,3.41,0.0,2.0,15.18,0.0
26.87,252.95,5.74,18.55,5.0,30.37,10.7,16.9,37.92,1.58,1.88,3.0,20.73,3.18,7.53,3.0,239.24,0.94,1.11,3.0,5.65,0.0
49.86,169.65,16.86,40.12,5.0,51.39,17.93,44.66,28.89,29.4,10.07,6.33,7.48,109.35,36.71,12.94,10.65,5.89,5.16,2.46,4.42,0.0
33.76,279.64,11.36,28.83,5.0,35.62,22.97,24.91,142.27,22.53,7.5,4.88,2.79,222.02,15.05,5.31,37.26,10.92,5.84,4.58,1.63,0.0
152.96,1270.73,55.68,140.95,7.5,152.98,41.49,124.04,84.82,126.42,11.85,17.84,6.01,1160.27,17.71,40.52,52.23,22.88,6.89,9.62,2.1,0.0
111.92,401.03,39.6,102.04,4.8000000000000105,113.76,27.72,96.65,42.24,71.07,0.0,40.0,2.41,299.41,0.0,99.13,2.49,13.17,0.0,13.03,1.52,0.0
57.62,202.43,20.37,53.99,8.700000000000012,59.35,25.65,50.26,18.99,15.09,3.0,29.95,9.66,26.81,9.0,137.58,29.04,7.57,1.0,13.22,3.86,0.0
26.09,143.63,7.16,22.03,10.5,28.08,11.39,18.02,14.05,1.01,0.0,5.23,19.85,1.07,0.0,5.56,137.0,0.77,0.0,3.61,7.01,0.0
22.66,116.22,9.52,16.37,6.600000000000022,24.11,11.63,16.16,28.17,0.51,0.0,6.3,16.85,0.58,0.0,6.3,109.34,0.49,0.0,2.82,8.32,0.0
36.12,144.46,20.45,29.62,19.70000000000003,36.12,31.92,36.12,0.0,0.68,0.0,13.66,26.78,0.72,0.0,21.66,122.08,0.54,0.0,9.66,21.72,0.0
