n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_Africa,n_species_Asia,n_species_Australia,n_species_EasternAsia,n_species_Europe,n_species_India,n_species_Madagascar,n_species_MiddleEast,n_species_NorthAmerica,n_species_SouthAmerica,n_occs_Africa,n_occs_Asia,n_occs_Australia,n_occs_EasternAsia,n_occs_Europe,n_occs_India,n_occs_Madagascar,n_occs_MiddleEast,n_occs_NorthAmerica,n_occs_SouthAmerica,n_locs_Africa,n_locs_Asia,n_locs_Australia,n_locs_EasternAsia,n_locs_Europe,n_locs_India,n_locs_Madagascar,n_locs_MiddleEast,n_locs_NorthAmerica,n_locs_SouthAmerica,present_diversity
12.22,15.86,4.83,7.22,3.2400000000000047,15.22,11.94,9.79,1.7,3.27,1.0,0.0,0.0,0.29,0.0,0.0,0.0,4.0,3.95,3.59,1.0,0.0,0.0,0.29,0.0,0.0,0.0,6.71,4.27,3.59,1.0,0.0,0.0,0.29,0.0,0.0,0.0,4.71,2.35,0.0
2.4,2.65,1.45,2.4,2.419999999999988,7.13,2.65,2.13,1.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.97,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.97,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.97,0.0
2.0,2.73,1.0,2.0,4.339999999999992,6.0,2.73,2.0,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,1.0,0.0
14.19,44.6,3.09,8.66,6.200000000000001,14.66,37.69,9.57,4.34,1.7,0.0,0.0,0.0,1.0,3.0,5.0,0.0,1.0,4.49,2.7,0.0,0.0,0.0,3.0,6.0,24.0,0.0,1.0,7.9,2.35,0.0,0.0,0.0,3.0,6.0,20.0,0.0,1.0,5.34,0.0
8.43,14.5,2.91,5.53,11.399999999999995,9.43,9.41,7.43,0.0,1.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.13,1.3,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.2,0.65,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.76,0.0
1.32,5.13,0.0,1.0,2.1000000000000143,2.0,5.13,1.23,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81,0.0
0.77,0.77,0.0,0.09,4.099999999999983,0.77,0.77,0.77,0.97,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0
0.97,0.97,0.0,0.97,4.100000000000018,0.97,0.97,0.0,11.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0
12.0,30.2,6.0,11.0,6.599999999999989,12.0,28.2,10.17,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,5.17,0.0,0.0,1.0,14.0,0.0,0.0,4.0,0.0,6.03,5.17,0.0,0.0,1.0,13.0,0.0,0.0,3.0,0.0,6.03,0.0
0.86,0.86,0.0,0.86,12.700000000000022,1.83,0.86,0.86,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0
