n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,present_diversity
9.42,16.99,1.29,6.43,9.0,9.42,6.48,1.29,5.24,0.38,0.0,6.91,2.38,0.38,0.0,13.98,2.63,0.19,0.0,4.81,1.48,0.0
10.96,79.27,1.85,8.04,9.0,13.37,10.11,4.3,4.76,2.7,0.44,4.27,5.23,6.28,0.44,7.49,65.06,2.34,0.44,3.6,3.73,0.0
10.45,95.65,1.97,7.92,10.0,13.83,10.12,4.65,7.86,3.25,0.56,1.85,6.44,8.1,0.56,3.08,83.91,2.89,0.56,1.54,5.13,0.0
14.29,91.01,4.53,11.29,10.0,17.04,18.57,10.4,8.01,7.4,0.0,5.89,3.0,12.88,0.0,51.73,26.4,5.22,0.0,7.69,5.66,0.0
13.09,57.25,1.36,10.8,5.0,14.65,11.43,6.38,24.55,0.65,0.0,12.44,0.0,0.65,0.0,56.6,0.0,0.65,0.0,10.78,0.0,0.0
31.63,93.32,11.9,26.47,5.0,32.82,27.56,24.69,77.81,14.53,0.93,13.56,5.5,33.59,1.86,45.23,12.64,8.44,0.93,16.35,1.84,0.0
85.94,624.35,32.18,75.51,5.0,85.94,69.33,82.97,12.94,45.9,0.07,38.07,8.56,130.74,0.14,476.11,17.36,23.45,0.07,42.65,3.16,0.0
15.9,49.4,5.44,14.27,7.5,15.91,18.21,10.83,5.56,11.93,0.0,3.4,0.57,32.99,0.0,14.89,1.52,10.57,0.0,7.45,0.19,0.0
9.26,28.36,1.92,7.0,4.8000000000000105,10.64,12.58,4.86,17.54,3.97,0.0,5.39,0.39,8.73,0.0,18.59,1.04,3.87,0.0,8.58,0.13,0.0
21.52,46.17,8.15,19.14,8.700000000000012,23.32,15.98,16.53,21.45,3.34,0.99,13.56,3.98,9.66,0.99,29.42,6.1,2.38,0.99,10.93,1.68,0.0
26.49,130.38,6.6,22.88,10.5,28.24,14.7,10.7,15.33,2.41,0.01,8.02,16.43,2.82,0.01,12.17,115.38,1.41,0.01,5.09,8.19,0.0
28.98,123.37,4.2,25.93,6.600000000000022,32.87,13.12,9.06,48.53,0.54,0.0,11.62,16.96,0.54,0.0,18.61,104.22,0.27,0.0,4.81,8.04,0.0
72.34,786.48,30.61,66.34,19.70000000000003,72.34,61.81,72.34,0.0,0.64,0.0,34.47,40.92,0.64,0.0,647.1,138.74,0.32,0.0,28.72,32.77,0.0
