n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_species_area_5,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_occs_area_5,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,n_locs_area_5,present_diversity
38.6,55.2,2.1,36.2,1.01333,66.9,17.4,8.2,9.5,3.2,2.9,1.8,30.9,0.0,3.3,3.0,1.8,47.1,0.0,1.6,1.4,1.2,13.2,0.0,0.0
44.6,71.1,4.2,42.7,1.0133399999999997,68.2,19.0,18.0,14.8,2.3,4.4,4.3,34.0,0.0,2.3,5.4,4.3,59.1,0.0,1.0,1.6,2.3,14.1,0.0,0.0
43.5,59.5,6.4,40.9,1.01333,65.0,15.9,20.5,9.1,1.7,5.1,7.6,29.1,0.0,1.8,6.4,8.3,43.0,0.0,0.7,1.9,3.1,10.2,0.0,0.0
33.7,62.4,3.4,30.7,1.01333,53.6,28.3,10.7,13.2,3.4,4.1,4.9,21.4,0.0,3.7,4.2,4.9,49.6,0.0,1.1,1.3,2.2,23.7,0.0,0.0
41.3,68.8,4.5,37.8,1.0133399999999997,56.1,24.8,13.0,13.9,4.2,5.7,5.9,25.7,0.0,4.6,6.7,6.5,51.0,0.0,1.1,2.2,3.8,17.7,0.0,0.0
44.6,154.3,6.1,41.3,1.01333,57.0,57.8,23.8,9.3,4.9,6.6,4.6,28.8,0.0,5.0,7.1,4.8,137.4,0.0,1.2,2.8,2.5,51.3,0.0,0.0
25.6,69.2,1.7,23.7,0.9525000000000008,42.5,21.8,4.5,6.8,1.4,4.8,1.9,17.5,0.0,1.4,5.6,2.2,60.0,0.0,0.8,2.3,2.1,16.6,0.0,0.0
33.8,104.2,2.2,31.4,0.9525000000000008,44.8,34.3,8.8,5.2,1.5,6.4,1.9,24.0,0.0,1.5,7.5,2.1,93.1,0.0,0.3,2.1,2.1,29.8,0.0,0.0
34.1,78.4,2.0,32.0,0.9525000000000008,41.2,37.0,19.9,5.6,2.5,5.0,2.0,24.6,0.0,2.5,6.0,2.5,67.4,0.0,0.7,2.1,2.4,31.8,0.0,0.0
22.4,41.6,2.5,21.0,0.9525000000000008,26.9,18.9,11.8,7.0,2.5,3.0,1.7,15.2,0.0,2.5,3.2,1.9,34.0,0.0,0.7,2.0,1.9,14.3,0.0,0.0
16.2,21.0,1.7,15.9,1.16333,22.1,12.0,7.4,5.5,0.8,3.3,2.8,9.3,0.0,0.8,3.7,3.0,13.5,0.0,0.2,2.9,1.8,7.1,0.0,0.0
12.6,16.3,1.5,12.2,1.16334,20.2,9.3,6.9,12.6,0.0,4.0,1.9,6.7,0.0,0.0,4.9,1.9,9.5,0.0,0.0,3.6,1.0,4.7,0.0,0.0
18.4,23.9,2.2,17.9,1.16333,25.9,14.1,5.2,5.5,0.3,3.9,2.7,11.5,0.0,0.3,4.7,3.0,15.9,0.0,0.3,2.8,2.1,8.9,0.0,0.0
12.0,17.1,0.8,11.7,0.942859999999996,26.2,11.0,1.7,5.4,0.3,2.3,2.4,7.0,0.0,0.3,2.5,2.8,11.5,0.0,0.1,2.0,1.3,7.6,0.0,0.0
15.4,20.0,1.1,14.9,0.94285,29.9,11.0,4.0,4.0,0.0,2.6,1.8,11.0,0.0,0.0,2.7,1.9,15.4,0.0,0.0,2.1,0.9,8.0,0.0,0.0
16.9,20.3,1.3,16.4,0.9428600000000029,29.9,10.7,7.0,4.5,0.0,2.7,1.3,13.0,0.0,0.0,3.0,1.3,16.0,0.0,0.0,2.3,0.4,8.0,0.0,0.0
11.0,12.9,1.9,10.8,0.942859999999996,27.4,7.3,4.5,3.5,0.5,1.8,1.1,7.6,0.0,0.5,1.9,1.2,9.3,0.0,0.4,1.6,0.6,4.7,0.0,0.0
9.1,9.7,1.2,8.8,0.9428600000000029,26.4,5.9,3.5,20.7,0.1,3.2,1.7,4.1,0.0,0.1,3.3,2.1,4.2,0.0,0.1,2.6,0.8,2.4,0.0,0.0
30.5,39.6,3.8,30.2,0.94285,43.6,12.2,8.3,16.1,0.5,3.2,1.5,25.3,0.0,0.5,3.4,1.5,34.2,0.0,0.5,2.9,0.4,8.4,0.0,0.0
39.4,52.1,4.3,38.9,0.942859999999996,51.4,13.7,11.9,9.8,0.5,2.9,5.9,30.2,0.0,0.5,3.4,6.2,42.0,0.0,0.4,2.6,2.0,8.7,0.0,0.0
29.1,38.8,1.4,29.0,1.0250000000000097,49.3,15.1,5.9,16.4,1.1,2.7,3.3,22.0,0.0,1.2,2.9,3.8,30.9,0.0,0.7,2.0,1.9,10.5,0.0,0.0
44.8,77.4,1.9,44.8,1.0250000000000001,59.8,19.8,18.7,17.1,0.6,0.8,4.5,38.9,0.0,0.7,0.8,5.1,70.8,0.0,0.5,0.7,3.2,15.4,0.0,0.0
