"Locality","cc","id","Taxon","MaxAge","MinAge","Rotated.Lat","Rotated.Lon","Area","genus"
"Eastern Cape","ZA",1831,"Dicynodon",259.51,251.902,-63.1595,-14.725,1,"Dicynodon"
"Western Cape","ZA",1825,"Endothiodon",259.51,254.14,-60.8508,-19.3342,1,"Endothiodon"
"Western Cape","ZA",1824,"Emydops",259.51,254.14,-60.8508,-19.3342,1,"Emydops"
"Western Cape","ZA",1823,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",1822,"Diictodon",259.51,254.14,-60.8508,-19.3342,1,"Diictodon"
"Western Cape","ZA",1814,"Dicynodon",259.51,254.14,-60.8508,-19.3342,1,"Dicynodon"
"Western Cape","ZA",1813,"Emydops",259.51,254.14,-60.8508,-19.3342,1,"Emydops"
"Western Cape","ZA",1812,"Pristerodon",259.51,254.14,-60.8508,-19.3342,1,"Pristerodon"
"Western Cape","ZA",1809,"Diictodon",264.28,259.51,-62.7516,-22.8072,1,"Diictodon"
"Eastern Cape","ZA",1806,"Dicynodon",259.51,254.14,-63.1595,-14.725,1,"Dicynodon"
"Western Cape","ZA",1801,"Diictodon",264.28,259.51,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1800,"Diictodon",264.28,259.51,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1799,"Emydops",264.28,259.51,-62.7516,-22.8072,1,"Emydops"
"Eastern Cape","ZA",1793,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1792,"Dicynodontoides",259.51,254.14,-63.1595,-14.725,1,"Dicynodontoides"
"Western Cape","ZA",1791,"Endothiodon",264.28,254.14,-62.7516,-22.8072,1,"Endothiodon"
"Western Cape","ZA",1790,"Endothiodon",264.28,254.14,-62.7516,-22.8072,1,"Endothiodon"
"Western Cape","ZA",1789,"Diictodon",264.28,254.14,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1788,"Diictodon",264.28,254.14,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1787,"Diictodon",264.28,254.14,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1786,"Diictodon",264.28,254.14,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1771,"Cistecephalus",259.51,254.14,-60.8508,-19.3342,1,"Cistecephalus"
"Western Cape","ZA",1766,"Emydops",259.51,254.14,-60.8508,-19.3342,1,"Emydops"
"KwaZulu-Natal","ZA",1763,"Daptocephalus",259.51,251.902,-63.5016,-5.693,1,"Daptocephalus"
"Western Cape","ZA",1759,"Emydops",273.01,259.51,-66.2903,-29.7941,1,"Emydops"
"Western Cape","ZA",1758,"Diictodon",273.01,259.51,-66.2903,-29.7941,1,"Diictodon"
"Western Cape","ZA",1757,"Emydops",273.01,259.51,-66.2903,-29.7941,1,"Emydops"
"Eastern Cape","ZA",1753,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1752,"Dicynodon",259.51,251.902,-63.1595,-14.725,1,"Dicynodon"
"Eastern Cape","ZA",1751,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Western Cape","ZA",1744,"Dicynodon",259.51,251.902,-60.8508,-19.3342,1,"Dicynodon"
"Eastern Cape","ZA",1743,"Kannemeyeria",247.2,242,-63.335,-9.9696,1,"Kannemeyeria"
"Eastern Cape","ZA",1742,"Kannemeyeria",247.2,242,-61.3754,-6.6214,1,"Kannemeyeria"
"Eastern Cape","ZA",1736,"Lystrosaurus",251.902,251.2,-62.6491,-13.244,1,"Lystrosaurus"
"Eastern Cape","ZA",1735,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1734,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1733,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Free State","ZA",1732,"Daptocephalus",259.51,251.902,-61.365,-10.9827,1,"Daptocephalus"
"Free State","ZA",1731,"Daptocephalus",259.51,251.902,-61.365,-10.9827,1,"Daptocephalus"
"Free State","ZA",1730,"Lystrosaurus",251.902,247.2,-60.8084,-9.6701,1,"Lystrosaurus"
"Free State","ZA",1729,"Lystrosaurus",251.902,247.2,-60.8084,-9.6701,1,"Lystrosaurus"
"Graaff-Reinet","ZA",1728,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Graaff-Reinet","ZA",1727,"Basilodon",259.51,254.14,-63.1595,-14.725,1,"Basilodon"
"Graaff-Reinet","ZA",1726,"Dinanomodon",259.51,254.14,-63.1595,-14.725,1,"Dinanomodon"
"Eastern Cape","ZA",1716,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1717,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1718,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1719,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Eastern Cape","ZA",1715,"Daptocephalus",259.51,251.902,-63.1595,-14.725,1,"Daptocephalus"
"Western Cape","ZA",1707,"Robertia",264.28,254.14,-62.7516,-22.8072,1,"Robertia"
"Western Cape","ZA",1706,"Diictodon",264.28,254.14,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1705,"Emydops",264.28,254.14,-62.7516,-22.8072,1,"Emydops"
