Taxon,MaxAge,MinAge,Area,Locality
Dicynodon,259.51,254.14,1,Ruvuma
Eodicynodon,273.01,259.51,1,Eastern Cape
Dicynodontoides,259.51,254.14,4,Andhra Pradesh
Dicynodontipus,259.51,247.2,4,Rio Negro
Dicynodontipus,259.51,247.2,4,Rio Negro
Dicynodontipus,259.51,247.2,4,Rio Negro
Dicynodontipus,259.51,247.2,4,Rio Negro
Dicynodontipus,259.51,247.2,4,Rio Negro
Rhinodicynodon,247.2,242.0,3,Orenburg
Eodicynodon,266.9,264.28,1,Western Cape
Eodicynodon,273.01,259.51,1,Eastern Cape
Eodicynodon,266.9,264.28,1,Western Cape
Eodicynodon,266.9,264.28,1,Eastern Cape
Eodicynodon,266.9,264.28,1,Western Cape
Eodicynodon,266.9,264.28,1,Western Cape
Dicynodon,242.0,237.0,4,Rio Grande do Sul
Dicynodon,259.51,254.14,1,Ruvuma
Dicynodontoides,259.51,254.14,1,Ruvuma
Dicynodontipus,259.51,247.2,4,Rio Negro
Dicynodontoides,259.51,251.902,1,Eastern Cape
Dicynodon,259.51,254.14,1,Eastern Cape
Dicynodontoides,259.51,251.902,1,Eastern Cape
Prodicynodon,259.51,254.14,1,Western Cape
Dicynodon,259.51,251.902,1,Western Cape
Eodicynodon,266.9,264.28,1,Western Cape
Dicynodon,259.51,254.14,1,Eastern Cape
Dicynodon,259.51,251.902,1,Eastern Cape
Dicynodontoides,259.51,251.902,1,Eastern Cape
Dicynodon,259.51,254.14,1,Western Cape
Dicynodon,259.51,254.14,1,Eastern Cape
Dicynodon,259.51,251.902,1,Eastern Cape
Prodicynodon,259.51,254.14,1,Eastern Cape
Dicynodontoides,259.51,254.14,1,Eastern Cape
Dicynodontoides,259.51,254.14,1,Northern Cape
Dicynodon,259.51,251.902,1,Eastern Cape
Dicynodon,259.51,254.14,1,Western Cape
Dicynodon,259.51,254.14,1,Eastern Cape
Dicynodontoides,259.51,254.14,1,Eastern Cape
Dicynodon,259.51,251.902,1,Eastern Cape
Dicynodon,259.51,251.902,1,Western Cape
Dicynodon,259.51,251.902,1,Eastern Cape
Dicynodon,259.51,254.14,1,Ruvuma
Dicynodontoides,259.51,254.14,1,Ruvuma
Dicynodontoides,259.51,254.14,1,Zambia
Dicynodontoides,259.51,254.14,1,Zambia
Dicynodontoides,259.51,254.14,1,Zambia
Eodicynodon,273.01,259.51,1,Northern Cape
Dicynodon,259.51,254.14,1,Ruvuma
Dicynodon,259.51,254.14,1,Northern Cape
Dicynodon,259.51,254.14,1,Northern Cape
Dicynodon,266.9,256.8,3,Orenburg
Dicynodon,266.9,256.8,3,Orenburg
Dicynodontoides,251.902,247.2,1,Free State
Dicynodon,264.28,259.51,1,Western Cape
Dicynodon,264.28,259.51,1,Western Cape
Dicynodon,264.28,259.51,1,Western Cape
Dicynodon,264.28,259.51,1,Northern Cape
Dicynodontipus,247.2,237.0,4,Mendoza
Dicynodontipus,242.0,237.0,4,Mendoza
Dicynodontipus,251.902,251.2,1,Free State
Dicynodon,298.9,251.902,1,Zambia
Dicynodon,298.9,251.902,1,Mozambique 
Dicynodontipus,251.2,242.0,3,Thuringia
Dicynodon,259.5,254.1,1,Free State
