n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_species_area_5,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_occs_area_5,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,n_locs_area_5,present_diversity
49.4,158.5,2.7,48.4,1.0250000000000097,63.6,48.9,49.6,51.7,0.3,1.4,6.1,41.6,0.0,0.3,1.4,7.2,149.6,0.0,0.1,1.1,3.6,44.1,0.0,0.0
48.3,164.3,1.4,48.2,1.0250000000000001,54.5,53.6,47.7,39.2,0.2,0.9,4.5,42.7,0.0,0.2,0.9,5.0,158.2,0.0,0.1,0.8,2.8,49.9,0.0,0.0
40.5,91.2,1.5,40.5,1.0250000000000001,41.2,33.3,45.0,31.0,0.7,1.0,4.3,34.5,0.0,0.7,1.0,5.8,83.7,0.0,0.5,1.0,2.8,29.0,0.0,0.0
12.8,16.6,0.7,12.8,1.06667,13.2,8.1,41.5,34.8,0.4,0.3,0.1,12.0,0.0,0.5,0.3,0.1,15.7,0.0,0.5,0.3,0.1,7.2,0.0,0.0
9.5,14.9,1.5,9.5,1.0666600000000002,10.1,8.1,74.6,40.0,0.3,0.3,0.2,8.7,0.0,0.4,0.3,0.2,14.0,0.0,0.4,0.3,0.2,7.2,0.0,0.0
4.6,6.6,0.6,4.6,1.06667,7.7,4.6,38.2,56.3,0.8,0.2,0.0,3.6,0.0,1.1,0.2,0.0,5.3,0.0,1.1,0.2,0.0,3.3,0.0,0.0
2.7,2.8,1.0,2.7,0.799999999999997,7.6,2.4,36.3,61.5,0.8,0.2,0.0,1.7,0.0,0.8,0.2,0.0,1.8,0.0,0.8,0.1,0.0,1.5,0.0,0.0
12.7,25.6,2.8,12.7,1.5999999999999999,12.8,13.6,55.6,73.6,1.2,0.6,0.0,10.9,0.0,1.2,0.6,0.0,23.8,0.0,1.2,0.3,0.0,12.1,0.0,0.0
3.2,4.6,0.8,3.2,1.4000000000000001,3.4,4.2,68.2,71.8,0.0,1.3,0.0,1.9,0.0,0.0,1.3,0.0,3.3,0.0,0.0,0.9,0.0,3.3,0.0,0.0
2.2,2.5,0.4,2.2,1.0,3.3,2.3,60.1,23.4,0.0,1.0,0.0,1.2,0.0,0.0,1.1,0.0,1.4,0.0,0.0,0.9,0.0,1.4,0.0,0.0
2.4,2.4,1.0,2.4,1.0,2.7,2.4,54.8,31.0,0.0,0.4,0.0,2.0,0.0,0.0,0.4,0.0,2.0,0.0,0.0,0.4,0.0,2.0,0.0,0.0
0.4,0.4,0.0,0.4,1.04300000000001,0.4,0.4,148.9,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
