n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,origination_events,extinction_events,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_species_area_5,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_occs_area_5,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,n_locs_area_5,present_diversity
148.9,1284.1,13.8,96.9,0.129,148.9,546.1,0.0,2.3,30.8,48.8,35.8,61.4,22.2,68.6,116.5,206.8,835.8,56.4,20.3,44.5,106.3,339.2,35.8,313.0
149.2,644.4,12.1,95.4,0.6449999999999999,172.7,192.7,1.1,1.7,24.7,52.2,44.6,58.6,8.3,43.4,163.5,126.6,301.3,9.6,10.2,41.7,46.3,89.1,5.4,0.0
191.7,747.9,27.4,135.9,1.026,209.4,213.2,0.8,0.9,38.5,77.1,53.6,55.9,14.2,90.1,267.8,191.3,179.1,19.6,19.6,61.0,56.3,70.9,5.4,0.0
187.3,613.1,25.8,131.8,0.7800000000000001,205.8,166.2,1.3,10.7,59.2,44.3,55.1,55.1,10.1,127.0,85.6,210.3,177.1,13.1,17.7,22.1,55.8,66.5,4.1,0.0
152.3,503.4,13.4,108.2,1.0199999999999998,187.8,158.9,6.7,1.5,30.5,31.9,54.2,60.8,1.1,59.1,48.9,181.0,213.3,1.1,17.6,22.0,50.2,68.4,0.7,0.0
121.1,261.4,11.3,87.2,0.8665,162.6,100.0,1.6,1.7,26.8,13.4,39.7,52.1,0.2,37.9,17.9,74.2,131.2,0.2,13.7,12.1,24.8,49.3,0.1,0.0
110.4,201.9,5.9,82.4,0.8665,144.5,83.4,1.6,4.0,27.5,11.3,26.0,53.6,0.4,42.2,13.8,40.4,105.1,0.4,15.0,9.6,20.4,38.2,0.2,0.0
141.9,303.1,16.6,104.2,0.9564999999999999,179.1,88.8,6.2,9.3,31.6,35.8,36.8,48.0,5.1,60.7,66.0,55.5,113.8,7.1,16.6,17.6,13.5,38.7,2.4,0.0
128.3,325.7,10.5,89.9,0.9564999999999999,185.8,90.4,2.5,30.5,20.9,36.6,39.5,49.5,2.0,25.7,78.9,89.0,130.0,2.1,7.7,18.5,20.7,42.5,1.0,0.0
139.8,443.7,11.3,99.0,1.096,199.8,140.1,8.9,22.2,4.3,41.4,53.6,58.3,3.8,4.6,98.6,169.9,166.0,4.6,1.4,34.7,43.3,57.6,3.1,0.0
150.1,378.2,12.6,104.1,1.096,208.3,130.2,5.4,14.5,4.3,39.6,63.3,59.6,2.4,4.4,80.8,139.2,151.2,2.6,2.1,30.5,43.8,51.7,2.1,0.0
147.7,299.6,12.9,106.7,1.096,206.2,106.1,6.6,10.5,5.5,27.5,67.6,58.9,1.6,5.6,43.8,128.4,120.2,1.6,3.2,16.4,36.7,48.6,1.2,0.0
123.5,274.0,5.7,88.7,1.096,177.6,101.5,11.1,5.0,4.5,23.4,61.5,42.1,0.6,5.0,28.4,108.9,131.1,0.6,2.8,11.5,32.1,54.6,0.5,0.0
147.9,469.3,14.0,117.2,1.0950000000000002,185.9,167.6,11.2,10.6,6.3,23.6,66.7,58.3,0.0,6.8,37.8,143.2,281.5,0.0,2.8,15.8,45.3,103.7,0.0,0.0
118.5,249.4,13.0,91.2,1.0950000000000002,166.3,99.5,14.7,17.1,10.0,27.8,40.0,50.0,0.0,10.4,34.4,76.8,127.8,0.0,4.6,14.3,29.8,50.8,0.0,0.0
119.0,307.9,11.1,95.3,1.0749999999999997,168.4,88.6,16.5,6.9,5.8,20.4,34.3,65.6,0.0,6.1,26.5,63.3,212.0,0.0,2.5,8.6,19.6,57.9,0.0,0.0
150.3,425.5,13.5,125.5,1.0749999999999997,183.4,110.5,14.0,6.6,9.6,19.8,55.4,73.3,0.0,10.0,23.0,136.1,256.4,0.0,2.8,10.7,31.0,66.0,0.0,0.0
143.9,360.9,14.2,123.9,1.1175,178.9,88.0,9.2,11.0,23.0,9.8,71.5,45.1,0.0,32.1,9.9,236.1,82.8,0.0,9.6,6.7,44.2,27.5,0.0,0.0
138.7,339.1,9.5,124.1,1.1175,168.9,101.1,25.1,5.5,17.8,5.5,64.0,54.3,0.0,39.4,6.3,166.3,127.1,0.0,13.8,4.1,35.7,47.5,0.0,0.0
110.1,239.5,10.5,101.3,1.1175,146.8,71.1,5.0,5.1,17.0,3.1,36.5,54.6,0.0,24.9,3.3,104.2,107.1,0.0,8.7,3.3,21.9,37.2,0.0,0.0
122.7,268.9,7.3,114.0,1.1175,147.7,72.5,5.7,5.2,18.0,2.7,46.9,56.3,0.0,31.6,2.8,97.3,137.2,0.0,8.3,2.6,18.6,43.0,0.0,0.0
64.4,112.8,5.9,61.1,0.8633299999999979,105.1,34.9,3.8,4.4,4.8,0.5,25.0,34.2,0.0,5.7,0.5,33.6,73.0,0.0,2.4,0.5,8.1,23.9,0.0,0.0
60.7,97.4,4.4,57.4,0.8633400000000011,97.7,33.5,3.9,1.4,4.7,1.3,25.2,29.7,0.0,5.7,1.4,36.0,54.3,0.0,2.0,1.0,9.1,21.4,0.0,0.0
46.1,59.5,1.9,43.4,0.863330000000001,74.3,26.1,6.0,5.1,3.2,1.1,16.5,25.3,0.0,3.8,1.2,19.7,34.8,0.0,1.4,0.8,6.2,17.7,0.0,0.0
28.1,38.0,1.6,26.7,0.9579999999999982,55.3,16.6,11.6,10.4,0.3,1.8,2.4,23.6,0.0,0.3,1.9,2.7,33.1,0.0,0.3,1.6,1.5,13.2,0.0,0.0
33.4,48.2,0.8,30.8,0.958000000000002,60.9,21.7,5.9,7.5,1.0,4.3,2.6,25.8,0.0,1.0,4.4,2.9,39.9,0.0,0.8,3.7,1.4,15.8,0.0,0.0
33.0,52.7,1.9,32.2,0.9579999999999982,66.9,21.4,6.7,11.5,0.5,0.9,1.1,30.5,0.0,0.5,0.9,1.1,50.2,0.0,0.3,0.9,0.5,19.7,0.0,0.0
29.5,36.6,1.9,27.8,0.9579999999999982,68.9,11.2,6.1,16.9,2.2,2.1,2.2,23.1,0.0,2.2,2.1,2.3,30.0,0.0,1.2,0.9,0.8,8.3,0.0,0.0
23.5,28.4,1.4,22.5,0.958000000000002,66.2,12.6,4.9,6.7,1.6,1.0,1.1,20.2,0.0,1.6,1.0,1.1,24.7,0.0,1.0,0.6,1.0,10.0,0.0,0.0
41.9,60.0,4.1,39.2,1.01333,71.8,18.9,7.0,5.5,3.3,3.9,4.1,30.7,0.0,3.5,4.2,4.2,48.1,0.0,1.8,1.9,1.6,13.6,0.0,0.0
44.2,67.4,4.4,41.9,1.0133399999999997,71.7,18.2,9.1,24.7,5.4,5.0,2.9,30.9,0.0,5.7,5.9,2.9,52.9,0.0,1.4,1.9,1.6,13.3,0.0,0.0
43.0,60.3,4.0,41.1,1.01333,66.2,16.6,14.4,15.0,1.4,4.4,4.1,33.3,0.0,1.5,4.5,4.1,50.2,0.0,0.5,1.4,2.5,12.2,0.0,0.0
33.1,66.1,2.2,30.4,1.01333,54.3,29.3,13.4,10.0,2.5,4.7,5.2,20.9,0.0,2.9,5.0,5.3,52.9,0.0,1.2,1.5,2.6,24.0,0.0,0.0
39.0,65.8,5.7,35.0,1.0133399999999997,57.7,24.6,8.8,20.7,1.8,6.1,7.8,23.5,0.0,1.8,7.2,8.4,48.4,0.0,0.6,2.3,4.2,17.5,0.0,0.0
43.2,152.9,7.3,40.4,1.01333,57.1,55.5,10.2,15.7,3.9,4.3,6.7,28.8,0.0,3.9,4.3,6.9,137.8,0.0,1.0,1.7,2.6,50.2,0.0,0.0
25.3,70.2,1.9,23.3,0.9525000000000008,41.5,22.5,10.7,10.8,1.5,5.6,2.0,16.2,0.0,1.5,7.7,2.6,58.4,0.0,0.7,2.5,2.6,16.7,0.0,0.0
31.4,96.8,2.1,29.4,0.9525000000000008,43.0,32.4,11.4,5.8,0.3,4.9,2.0,24.2,0.0,0.3,5.6,2.4,88.5,0.0,0.3,2.2,2.3,27.6,0.0,0.0
31.8,83.8,1.2,30.0,0.9525000000000008,41.2,37.8,5.3,8.0,1.4,3.6,1.5,25.3,0.0,1.4,4.0,1.9,76.5,0.0,0.2,1.4,1.9,34.3,0.0,0.0
22.7,38.7,2.2,21.2,0.9525000000000008,30.4,18.6,8.4,6.4,1.9,4.8,1.6,14.5,0.0,1.9,5.2,1.6,30.0,0.0,0.7,2.5,1.5,13.9,0.0,0.0
17.2,21.9,2.6,16.5,1.16333,25.6,12.7,12.8,6.8,1.8,3.0,3.1,9.4,0.0,1.8,3.3,3.3,13.5,0.0,0.6,2.6,2.1,7.4,0.0,0.0
16.6,19.1,2.1,16.1,1.16334,24.0,9.8,15.1,9.5,2.2,4.0,2.3,8.1,0.0,2.2,4.6,2.5,9.8,0.0,0.4,3.3,1.6,4.5,0.0,0.0
18.1,24.9,1.4,17.6,1.16333,25.2,15.6,6.4,25.4,0.2,3.9,3.2,10.8,0.0,0.2,4.8,3.6,16.3,0.0,0.2,3.0,2.1,10.3,0.0,0.0
11.8,16.1,0.7,11.5,0.942859999999996,26.1,9.8,5.0,28.4,0.3,2.4,0.8,8.3,0.0,0.3,2.5,0.9,12.4,0.0,0.1,1.9,0.3,7.5,0.0,0.0
13.5,18.8,0.9,13.3,0.94285,28.6,9.8,14.6,22.0,0.0,2.0,1.1,10.4,0.0,0.0,2.0,1.4,15.4,0.0,0.0,1.8,0.6,7.4,0.0,0.0
14.4,16.7,0.9,14.1,0.9428600000000029,28.0,9.2,21.2,63.8,0.4,2.2,0.6,11.2,0.0,0.4,2.5,0.6,13.2,0.0,0.3,2.0,0.3,6.6,0.0,0.0
12.7,14.7,2.6,12.4,0.942859999999996,28.5,8.1,26.2,25.3,0.7,2.4,2.4,7.2,0.0,0.7,2.6,2.4,9.0,0.0,0.4,2.2,0.8,4.7,0.0,0.0
12.4,13.1,1.4,12.1,0.9428600000000029,28.4,7.2,39.8,61.9,0.4,2.7,1.9,7.4,0.0,0.4,2.9,2.0,7.8,0.0,0.3,2.4,0.7,3.8,0.0,0.0
35.9,47.2,5.9,35.6,0.94285,48.0,13.5,38.1,48.1,0.5,3.5,4.6,27.3,0.0,0.5,3.8,5.0,37.9,0.0,0.4,2.9,1.7,8.5,0.0,0.0
29.6,38.7,1.6,29.4,0.942859999999996,46.2,12.7,53.2,57.7,0.9,3.4,2.2,23.1,0.0,0.9,3.6,2.5,31.7,0.0,0.6,3.0,0.9,8.2,0.0,0.0
33.6,42.6,1.2,33.4,1.0250000000000097,53.6,13.2,43.0,28.0,1.0,2.4,3.2,27.0,0.0,1.0,2.4,3.3,35.9,0.0,0.6,1.7,2.0,8.9,0.0,0.0
44.9,74.4,3.0,44.8,1.0250000000000001,63.2,21.2,37.9,35.8,0.7,1.4,6.2,36.6,0.0,0.7,1.4,7.5,64.8,0.0,0.4,1.1,4.4,15.3,0.0,0.0
42.1,75.9,1.6,42.0,1.0250000000000001,60.8,16.8,38.1,57.7,0.2,0.5,4.5,36.9,0.0,0.2,0.5,5.5,69.7,0.0,0.2,0.5,4.0,12.1,0.0,0.0
40.7,77.9,1.4,40.6,1.0250000000000001,61.4,17.7,49.8,41.5,0.9,0.9,4.6,34.3,0.0,0.9,0.9,5.2,70.9,0.0,0.7,0.8,3.0,13.2,0.0,0.0
52.0,140.0,4.0,52.0,1.0250000000000001,67.5,40.9,27.5,56.1,0.8,0.6,6.1,44.5,0.0,0.8,0.6,6.5,132.1,0.0,0.3,0.5,3.7,36.4,0.0,0.0
